form	status	emphasis	"meaning change"	type	novel	lineno	matchno	sent
0				0	Abdolah_Koning	5	1	"Ahuramazda zegende de Koe : ' We hebben niemand als baas over jou aangesteld , Wij hebben jou voor hen geschapen die op de viervoeters passen en voor degenen die hun weilanden verzorgen . '"
1	1			0	Abdolah_Koning	5	2	"Ahuramazda zegende de Koe : ' We hebben niemand als baas over jou aangesteld , Wij hebben jou voor hen geschapen die op de viervoeters passen en voor degenen die hun weilanden verzorgen . '"
1	1			0	Abdolah_Koning	5	3	"Ahuramazda zegende de Koe : ' We hebben niemand als baas over jou aangesteld , Wij hebben jou voor hen geschapen die op de viervoeters passen en voor degenen die hun weilanden verzorgen . '"
1	1			0	Abdolah_Koning	5	4	"Ahuramazda zegende de Koe : ' We hebben niemand als baas over jou aangesteld , Wij hebben jou voor hen geschapen die op de viervoeters passen en voor degenen die hun weilanden verzorgen . '"
1	2			0	Abdolah_Koning	5	5	"Ahuramazda zegende de Koe : ' We hebben niemand als baas over jou aangesteld , Wij hebben jou voor hen geschapen die op de viervoeters passen en voor degenen die hun weilanden verzorgen . '"
1				1	Abdolah_Koning	5	6	"Ahuramazda zegende de Koe : ' We hebben niemand als baas over jou aangesteld , Wij hebben jou voor hen geschapen die op de viervoeters passen en voor degenen die hun weilanden verzorgen . '"
1				1	Abdolah_Koning	14	1	"Op een ochtend , de zon was net opgekomen , kreeg hij van de vrouwen en hun kinderen een kroon van jonge takken en geurige bloemen ."
1	1	1		0	Abdolah_Koning	16	1	"Verleen mij uw kracht opdat ik leiding mag geven aan alles wat stilstaat en alles wat beweegt op aarde . '"
1	2			0	Abdolah_Koning	20	1	"Een van hen was Astyages , de koning van de Meden , die heerste over de Perzen ."
0	1			0	Abdolah_Koning	23	1	"Ze zeiden dat zijn dochter , die de vrouw van een prins van de onderworpen Perzen was , een zoon zou baren die de koning van zijn troon zou stoten ."
1	2			0	Abdolah_Koning	28	1	"Alle koningen , gezeten op tronen , van de Opper-Zee tot de Beneden-Zee en zij die in verafgelegen gebieden leven , en de koningen van het Westen die in tenten wonen , brachten allemaal hun dierbare schatten voor mij ."
1				1	Abdolah_Koning	28	2	"Alle koningen , gezeten op tronen , van de Opper-Zee tot de Beneden-Zee en zij die in verafgelegen gebieden leven , en de koningen van het Westen die in tenten wonen , brachten allemaal hun dierbare schatten voor mij ."
1	2			0	Abdolah_Koning	28	3	"Alle koningen , gezeten op tronen , van de Opper-Zee tot de Beneden-Zee en zij die in verafgelegen gebieden leven , en de koningen van het Westen die in tenten wonen , brachten allemaal hun dierbare schatten voor mij ."
1				0	Abdolah_Koning	29	1	"En in Babylon kusten zij mijn voeten . '"
0				0	Abdolah_Koning	36	1	"De Grieken wisten dat ze de oorlog nooit zouden winnen , maar de goden gingen aan hun kant staan ."
1				1	Abdolah_Koning	36	2	"De Grieken wisten dat ze de oorlog nooit zouden winnen , maar de goden gingen aan hun kant staan ."
0				0	Abdolah_Koning	37	1	"Geheel onverwacht braken ze het almachtige leger van de Perzen en de koning vluchtte ."
0				0	Abdolah_Koning	39	1	"Ze hadden liever gezien dat hij sneuvelde , dat hij gevangengenomen werd of in stukken werd gehakt ."
1				1	Abdolah_Koning	46	1	"Enkele eeuwen daarna vielen de mohammedanen met hun versgeschreven Koran het verzwakte Perzische Rijk binnen ."
0				0	Abdolah_Koning	47	1	"Ze wisten in drie weken de macht te grijpen ."
1				1	Abdolah_Koning	53	1	"Weer later trok Dzjengis Khan van het oosten naar het westen , waarbij hij het land van de Perzen vernielde zodat er niets meer overbleef van hun oude glorie ."
0				0	Abdolah_Koning	64	1	"Maar ze kwamen niet op het idee om een bezoek aan de hoge ijzeren toren te brengen ."
1				1	Abdolah_Koning	75	1	"In het noorden van de stad woonden prinsen in bijzondere landhuizen , en in het centrum hadden de rijke handelaren ruime huizen gebouwd voor hun grote families ."
0	1			0	Abdolah_Koning	76	1	"De rest van de bewoners werkte voor de handelaren van de bazaar , of ze hadden kleine winkels en werkplaatsen waar ze handarbeid verrichtten ."
0	1			0	Abdolah_Koning	76	1	"De rest van de bewoners werkte voor de handelaren van de bazaar , of ze hadden kleine winkels en werkplaatsen waar ze handarbeid verrichtten ."
1				1	Abdolah_Koning	77	1	"Er was ook een massa werkloze mensen die uit de dorpen naar Teheran waren gekomen om hun geluk te zoeken ."
1				1	Abdolah_Koning	78	1	"In die tijd werd Perzië in het noorden begrensd door Rusland , in het oosten door India en in het zuiden door de Perzische Golf , waarover de Britten met hun grote schepen op en neer naar India voeren ."
1	2			0	Abdolah_Koning	81	1	"Hoewel de overleden koning 375 zonen had , waren slechts acht van hen belangrijk ."
0				0	Abdolah_Koning	87	1	"Ze had een bijzondere status in het koninklijk huis ."
0				0	Abdolah_Koning	88	1	"Ze was de meest directe bloedverwant van de koning ."
1	2	1		0	Abdolah_Koning	95	1	"Ook zij wilden nadrukkelijk deelnemen aan de verplaatsing van de macht ."
0				0	Abdolah_Koning	100	1	"De Russische en Britse vertegenwoordigers in Teheran feliciteerden hem en ze overhandigden hem persoonlijk de geschenken uit Moskou en Londen ."
1	2			0	Bernlef_ZijnDood	3	1	"Hoe lang kan een man of vrouw dood in huis liggen voor hij of zij wordt gevonden ?"
0	2			0	Bernlef_ZijnDood	8	1	"Vaak worden ze pas maanden later gevonden , maar meestal niet later dan zes maanden ."
1				0	Bernlef_ZijnDood	10	1	"Zolang het bank- of girosaldo van de dode maar voldoende is en de rekeningen automatisch worden afgeschreven , zijn zij voor de autoriteiten nog in leven ."
1	1	1		0	Bernlef_ZijnDood	23	1	"En zo kwam de zaak via notariskantoor Wouters en Van Beek bij mij terecht , vennoot van de firma Erf en Recht , gevestigd aan de ijsselkade 13 hier ter stede ."
0				0	Bernlef_ZijnDood	25	1	"We zijn Erf en Recht in 1998 begonnen en leggen ons toe op het opsporen van erfgenamen ."
0				0	Bernlef_ZijnDood	29	1	"Toen ik met de vut ging kwamen we op het idee om een firma te beginnen naar voorbeeld van de Engelse heritage hunters ."
0				0	Bernlef_ZijnDood	30	1	"We speuren erfgenamen op ."
0	1			0	Bernlef_ZijnDood	31	1	"Als we ze vinden berekenen we een percentage van 12 procent over het totaalbedrag van de erfenis na aftrek van successierechten en eventuele schulden ."
0	1			0	Bernlef_ZijnDood	31	2	"Als we ze vinden berekenen we een percentage van 12 procent over het totaalbedrag van de erfenis na aftrek van successierechten en eventuele schulden ."
0	1			0	Bernlef_ZijnDood	31	3	"Als we ze vinden berekenen we een percentage van 12 procent over het totaalbedrag van de erfenis na aftrek van successierechten en eventuele schulden ."
1	1			0	Bernlef_ZijnDood	33	1	"Die hoopt dat wij geen erfgenamen vinden en de erfenis zodoende aan de staat der Nederlanden toevalt ."
0	1			0	Bernlef_ZijnDood	34	1	"Maar dan kennen ze mij niet ."
1	1	1		0	Bernlef_ZijnDood	34	2	"Maar dan kennen ze mij niet ."
1	1	1		0	Bernlef_ZijnDood	35	1	"Als oud-politieman heb ik toegang tot allerlei bronnen waar zij niet zo makkelijk bij komen ."
0				0	Bernlef_ZijnDood	37	1	"Ze hadden een nieuw slot op de deur laten zetten ."
1				0	Bernlef_ZijnDood	51	1	"Aan de achterkant was nog een woonkamer met een boekenkast vol , zo te zien , ongelezen boeken met titels en namen van auteurs die mij niets zeiden , maar dat is niet zo verwonderlijk , ik ben nooit een lezer geweest ."
0	2			2	Bernlef_ZijnDood	56	1	"Aan de dikke laag stof kon je zien dat ze lang niet meer waren gebruikt ."
0	1			3	Bernlef_ZijnDood	56	2	"Aan de dikke laag stof kon je zien dat ze lang niet meer waren gebruikt ."
1				1	Bernlef_ZijnDood	66	1	" U hebt geen idee hoeveel mensen tegenwoordig hun leven te boek stellen zonder dat er een reguliere uitgever voor te vinden is . '"
0	1			0	Bernlef_ZijnDood	68	1	"Ik herinnerde me opmerkingen op verjaardagen vroeger , toen Martha nog leefde ."
0				0	Bernlef_ZijnDood	69	1	"Als ik op mijn praatstoel zat en vertelde over zaken waarbij ik betrokken was geweest , zei er altijd wel iemand : daar zou je een boek over moeten schrijven ."
0	2			2	Bernlef_ZijnDood	75	1	"Bij Roderick kon je je manuscript achterlaten in de zekerheid dat het gedrukt zou worden ."
0	2			1	Bernlef_ZijnDood	75	2	"Bij Roderick kon je je manuscript achterlaten in de zekerheid dat het gedrukt zou worden ."
1				0	Bernlef_ZijnDood	79	1	"Ik keek om mij heen ."
0				0	Bernlef_ZijnDood	96	1	"Het was alsof niemand zich Roderick Vos herinnerde , zelfs als ik ze de foto uit het paspoort liet zien ."
1	2	1		0	Dewulf_KleineDagen	9	1	"Hij doet al dingen die wij nog niet kunnen ."
1		1		0	Dewulf_KleineDagen	11	1	"Hij is een wonder en dat wij hem hebben gemaakt verwondert ons nog het meest ."
1		1		0	Dewulf_KleineDagen	12	1	"Wij wilden geen wonder maken , wij weten wel beter ."
1		1		0	Dewulf_KleineDagen	12	2	"Wij wilden geen wonder maken , wij weten wel beter ."
0				0	Dewulf_KleineDagen	14	1	"Nu staren we naar elkaar en zie , ons wonder zit ons aan te kijken alsof , in zijn kamergrote bestaan , wij het wonder zijn ."
1	2	1		0	Dewulf_KleineDagen	14	2	"Nu staren we naar elkaar en zie , ons wonder zit ons aan te kijken alsof , in zijn kamergrote bestaan , wij het wonder zijn ."
0	2			3	Dewulf_KleineDagen	30	1	"Dan probeert hij ze kort nog eens uit , door ze snel na elkaar te strekken en te buigen ."
0	2			3	Dewulf_KleineDagen	30	2	"Dan probeert hij ze kort nog eens uit , door ze snel na elkaar te strekken en te buigen ."
